"Ajatempel (UTC)";"Kuupäev (Eesti aeg)";"NPS Läti";"NPS Leedu";"NPS Soome";"NPS Eesti"
"1704060000";"01.01.2024 00:00";"40,01";"40,01";"40,01";"40,01"
"1704063600";"01.01.2024 01:00";"38,37";"38,37";"38,37";"38,37"
"1704067200";"01.01.2024 02:00";"28,46";"28,46";"28,46";"28,46"
"1704070800";"01.01.2024 03:00";"26,66";"26,66";"26,66";"26,66"
"1704074400";"01.01.2024 04:00";"24,48";"24,48";"24,48";"24,48"
"1704078000";"01.01.2024 05:00";"24,01";"24,01";"24,01";"24,01"
"1704081600";"01.01.2024 06:00";"21,23";"21,23";"21,23";"21,23"
"1704085200";"01.01.2024 07:00";"22,62";"22,62";"22,62";"22,62"
"1704088800";"01.01.2024 08:00";"25,04";"25,04";"25,04";"25,04"
"1704092400";"01.01.2024 09:00";"26,24";"26,24";"26,24";"26,24"
"1704096000";"01.01.2024 10:00";"32,21";"32,21";"32,21";"32,21"
"1704099600";"01.01.2024 11:00";"41,34";"41,34";"41,34";"41,34"
"1704103200";"01.01.2024 12:00";"43,51";"43,51";"43,51";"43,51"
"1704106800";"01.01.2024 13:00";"58,64";"58,64";"58,64";"58,64"
"1704110400";"01.01.2024 14:00";"61,14";"61,14";"61,14";"61,14"
"1704114000";"01.01.2024 15:00";"60,34";"60,34";"60,34";"60,34"
"1704117600";"01.01.2024 16:00";"77,56";"77,56";"77,56";"77,56"
"1704121200";"01.01.2024 17:00";"68,4";"68,4";"68,4";"68,4"
"1704124800";"01.01.2024 18:00";"74,16";"74,16";"74,16";"74,16"
"1704128400";"01.01.2024 19:00";"65,01";"65,01";"65,01";"65,01"
"1704132000";"01.01.2024 20:00";"55,91";"55,91";"55,91";"55,91"
"1704135600";"01.01.2024 21:00";"48,15";"48,15";"48,15";"48,15"
"1704139200";"01.01.2024 22:00";"64,94";"64,94";"64,94";"64,94"
"1704142800";"01.01.2024 23:00";"45,2";"45,2";"53,6";"53,6"
"1704146400";"02.01.2024 00:00";"38";"38";"43,99";"43,99"
"1704150000";"02.01.2024 01:00";"38";"38";"55,5";"55,5"
"1704153600";"02.01.2024 02:00";"33,56";"33,56";"49,94";"49,94"
"1704157200";"02.01.2024 03:00";"32,03";"32,03";"47,26";"47,26"
"1704160800";"02.01.2024 04:00";"53,5";"53,5";"53,5";"53,5"
"1704164400";"02.01.2024 05:00";"76,48";"76,48";"76,48";"76,48"
"1704168000";"02.01.2024 06:00";"180,05";"180,05";"180,05";"180,05"
"1704171600";"02.01.2024 07:00";"110,09";"110,09";"250,01";"250,01"
"1704175200";"02.01.2024 08:00";"483,08";"483,08";"483,08";"483,08"
"1704178800";"02.01.2024 09:00";"250,03";"250,03";"300,07";"300,07"
"1704182400";"02.01.2024 10:00";"120";"120";"250,01";"250,01"
"1704186000";"02.01.2024 11:00";"110,02";"110,02";"241,94";"241,94"
"1704189600";"02.01.2024 12:00";"98,1";"98,1";"159,47";"159,47"
"1704193200";"02.01.2024 13:00";"128,1";"128,1";"149,99";"149,99"
"1704196800";"02.01.2024 14:00";"100,1";"100,1";"149,99";"149,99"
"1704200400";"02.01.2024 15:00";"100,09";"100,09";"165,8";"165,8"
"1704204000";"02.01.2024 16:00";"97,14";"97,14";"250,02";"250,02"
"1704207600";"02.01.2024 17:00";"99,25";"99,25";"226,21";"226,21"
"1704211200";"02.01.2024 18:00";"94,89";"94,89";"196,9";"196,9"
"1704214800";"02.01.2024 19:00";"91,7";"91,7";"250,01";"250,01"
"1704218400";"02.01.2024 20:00";"88,52";"88,52";"196,91";"196,91"
"1704222000";"02.01.2024 21:00";"100,06";"100,06";"105,7";"105,7"
"1704225600";"02.01.2024 22:00";"100,02";"100,02";"149,52";"149,52"
"1704229200";"02.01.2024 23:00";"40,99";"40,99";"90,38";"90,38"
"1704232800";"03.01.2024 00:00";"38,35";"38,35";"86,69";"86,69"
"1704236400";"03.01.2024 01:00";"49,08";"49,08";"49,08";"49,08"
"1704240000";"03.01.2024 02:00";"49,06";"49,06";"56,76";"56,76"
"1704243600";"03.01.2024 03:00";"49,05";"49,05";"56,11";"56,11"
"1704247200";"03.01.2024 04:00";"49,05";"49,05";"57,96";"57,96"
"1704250800";"03.01.2024 05:00";"49,07";"49,07";"70,17";"70,17"
"1704254400";"03.01.2024 06:00";"86,7";"86,7";"86,7";"86,7"
